What's your favorite candy?,What's your favorite restaurant on the ave?,Cats or Dogs?,Are you currently enrolled in CSE 351?
Smarties,Udon,Cats,Yes
Gummy worms:),Aladdin's Gyro-cery,Dogs,Yes
KitKat,UDupBop,Dogs,No
skittles,noodle nation,Dogs,No
sour patch kids,sizzle and crunch,Neither,Yes
smarties,Noodle Nation!!!!,Cats,Yes
chocolate,chipotle,Dogs,No
m&m's,U:Don - University District Fresh Japanese Noodle Station,Neither,Yes
orange candy,xi an taste,Cats,Yes
Snickers,Noodle Nation!,Dogs,Yes
Skittles,Mee Sum,Cats,Yes
Reeses,All,Cats,Yes
Kit Kats,BBs Teriyaki,Dogs,Yes
Chocolate,Cedars,Dogs,Yes
https://www.google.com/search?q=%E9%99%88%E7%9A%AE%E7%B3%96&rlz=1C5CHFA_enUS778HK778&tbm=isch&source=iu&ictx=1&fir=gbNKM1T8Jay70M%253A%252CIYums7EQWQduLM%252C_&vet=1&usg=AI4_-kQn19QKa0oFTR6w-uuH2Gfzlf8mbA&sa=X&ved=2ahUKEwjF2oKj9cvoAhWhPH0KHfE6BoEQ9QEwAHoECAoQFA#imgrc=gbNKM1T8Jay70M:,Cafe on the Ave.  /   Samurai   /    University Teriyaki & Bakery   /    Mee Sum Pastry    /   Panda Noodle Bar,Neither,Yes
Twix,Sultan Gyro,Dogs,Yes
snickers,Korean Tofu House,Dogs,Yes
espresso chocolate,Thai65,Cats,Yes
SOUR PATCH KIDSSS,Chi Mac,Dogs,Yes
Mozartkugel (chocolate with nougat & pistachio marzipan),Cafe Happy; U:don; Kong Tofu House,Dogs,No
kitkat,red pepper,Cats,No
kitkats,Aladdin's,Cats,No
marshmallow,Little Duck,Cats,Yes
Reeses,Costas,Dogs,Yes
not really into,palmi,Cats,No
Twix,Cafe on the ave,Dogs,Yes
Milky Way,Little Thai,Dogs,Yes
Skittles,Chipotle,Dogs,Yes
Caramel,can't pick one,Neither,Yes
coconut candy,NA,Dogs,Yes
KitKat,Burger and Kabob Hut,Dogs,Yes
Reese's Cups,U:Don,Dogs,Yes
Gummy Bear,Cafe on the Ave,Cats,No
Kit Kat,cafe on the ave,Dogs,Yes
Mars bar,Cafe on the Ave; Chi Mac,Dogs,Yes
M&M,Vietnamese restaurant,Dogs,Yes
M&Ms,Shawarma King,Dogs,Yes
M&M,China First,Dogs,Yes
kit kat,thaiger room,Dogs,Yes
Kitkat,I don't know,Dogs,Yes
Kit Kat,Aladdin's Gyrocery,Dogs,No
Reeses peanut butter cups,Araya's Place,Dogs,Yes
Twix,Shawarma King,Dogs,Yes
Chocolate,Chipotle,Dogs,Yes
Nerds,Chipotle,Dogs,Yes
ok so there are these little gummies from trader joe's called the super sour scandinavian swimmers and i absolutely adore them; they're like sour patch kids but good,alladin gyro-cery,Dogs,Yes
Sweedish Fish,U:Don,Dogs,Yes
chocolate,chipotle,Cats,No
White Choco Kit Kat or Cookies and Cream Hershey's,snowy village,Dogs,Yes
Dairy Milk,Noodle Nation,Dogs,No
STARBURST FAVEREDS!!!,Hawaiian BBQ Resturaunt,Dogs,Yes
watermelon sour patch,korean tofu house!,Cats,Yes
Midnight Milky Way,Nasai Teriyaki,Dogs,Yes
Resees,I just transfered. Haven't lived near UW yet. Recommendations accepted,Neither,Yes
Sour Patch,Thai Tom,Dogs,No
Ice Cream!,Shawarma King,Dogs,Yes
reeses,cafe on ave,Dogs,Yes
Twix,Alladin's,Dogs,No
Skittles,Sizzle and Crunch,Dogs,Yes
Andes chocolate mints,U:Don,Dogs,Yes
White cholocate,Cafe on the Ave,Cats,Yes
Any chocolate with hazelnuts or caramel,Burger Hut; Chi Mac; or Noodle Nation,Dogs,No
sour patch,Thai Tom,Dogs,No
skittles,Morsels,Dogs,Yes
chocolate,I don't know - haven't really eaten on the Ave much (I'm a commuter),Cats,Yes
Any kind of chocolate,I'm a commuter so I don't know :C,Cats,Yes
Riesen (Dark chocolate carmel coated in dark chocolate),The Ave?,Cats,Yes
Sour candy! the more sour the better,Ugly mug cafe,Dogs,Yes
Hershey's,Thaiger Room,Dogs,Yes
Peanut M&Ms,Aladdin's,Neither,Yes
Skittles,Olive Garden,Dogs,Yes
Most chocolates!,Taste of Xi'an,Dogs,Yes
